Depth,Calcite,Dolomite,Pyrite,Porosity,Bulk_Porosity,Volume_Closure,RMSE
3331.0,0.5665,0.0,0.1383,0.2951,0.2787,1.0,0.2235
3331.1,0.5447,0.0,0.1487,0.3066,0.2912,1.0,0.2425
3331.2,0.5272,0.0,0.1584,0.3144,0.2996,1.0,0.2555
3331.3,0.5144,0.0,0.1662,0.3194,0.3061,1.0,0.2646
3331.4,0.5083,0.0,0.1715,0.3202,0.308,1.0,0.2739
3331.5,0.5077,0.0,0.1756,0.3167,0.3054,1.0,0.2849
3331.6,0.5116,0.0,0.1794,0.3091,0.299,1.0,0.2933
3331.7,0.5262,0.0,0.1795,0.2944,0.285,1.0,0.2929
3331.8,0.5422,0.0,0.1784,0.2794,0.2717,1.0,0.2819
3331.9,0.5716,0.0,0.1719,0.2565,0.2495,1.0,0.2686
3332.0,0.5978,0.0,0.1646,0.2376,0.2307,1.0,0.2497
3332.1,0.6242,0.0,0.1544,0.2214,0.214,1.0,0.2281
3332.2,0.6436,0.0,0.1443,0.2121,0.2047,1.0,0.2103
3332.3,0.6479,0.0,0.1396,0.2125,0.205,1.0,0.2018
3332.4,0.6422,0.0,0.1414,0.2165,0.2083,1.0,0.2088
3332.5,0.6288,0.0,0.1486,0.2226,0.2141,1.0,0.2247
3332.6,0.6194,0.0,0.1534,0.2272,0.218,1.0,0.2301
3332.7,0.6236,0.0,0.1495,0.2269,0.217,1.0,0.2208
3332.8,0.634,0.0,0.14,0.2259,0.2152,1.0,0.2055
3332.9,0.6368,0.0,0.1333,0.23,0.2175,1.0,0.1993
3333.0,0.6226,0.0,0.1358,0.2416,0.2273,1.0,0.2076
3333.1,0.6002,0.0,0.1439,0.2559,0.2408,1.0,0.2223
3333.2,0.5881,0.0,0.1489,0.263,0.2469,1.0,0.2321
3333.3,0.5844,0.0,0.1506,0.265,0.2487,1.0,0.235
3333.4,0.587,0.0,0.1497,0.2633,0.2471,1.0,0.2323
3333.5,0.5883,0.0,0.1498,0.2619,0.2457,1.0,0.2297
3333.6,0.5773,0.0,0.1557,0.267,0.2517,1.0,0.2333
3333.7,0.5584,0.0,0.1652,0.2764,0.2621,1.0,0.2431
3333.8,0.5397,0.0,0.1737,0.2866,0.2727,1.0,0.255
3333.9,0.5286,0.0,0.1775,0.2939,0.2806,1.0,0.2645
3334.0,0.5289,0.0,0.1754,0.2957,0.2831,1.0,0.2695
3334.1,0.5357,0.0,0.1706,0.2937,0.282,1.0,0.2715
3334.2,0.5403,0.0,0.1678,0.2919,0.2801,1.0,0.2692
3334.3,0.5445,0.0,0.168,0.2874,0.2752,1.0,0.2707
3334.4,0.5347,0.0,0.1747,0.2906,0.2786,1.0,0.2689
3334.5,0.5344,0.0,0.1779,0.2877,0.2752,1.0,0.2694
3334.6,0.5429,0.0,0.1769,0.2802,0.2685,1.0,0.2725
3334.7,0.5499,0.0,0.1754,0.2747,0.264,1.0,0.2709
3334.8,0.5653,0.0,0.1718,0.2629,0.2527,1.0,0.2684
3334.9,0.5768,0.0,0.1694,0.2538,0.2434,1.0,0.2565
3335.0,0.5882,0.0,0.1652,0.2466,0.2359,1.0,0.2375
3335.1,0.5972,0.0,0.1588,0.244,0.2323,1.0,0.2179
3335.2,0.5923,0.0,0.155,0.2527,0.2403,1.0,0.2065
3335.3,0.5674,0.0,0.1569,0.2757,0.2624,1.0,0.2041
3335.4,0.5341,0.0,0.1617,0.3042,0.2895,1.0,0.2146
3335.5,0.5005,0.0,0.168,0.3314,0.3143,1.0,0.2356
3335.6,0.4761,0.0,0.1759,0.3481,0.3266,1.0,0.2702
3335.7,0.465,0.0,0.1865,0.3486,0.3222,1.0,0.3119
3335.8,0.4756,0.0,0.197,0.3274,0.2969,1.0,0.3457
3335.9,0.5007,0.0,0.205,0.2944,0.2625,1.0,0.3486
3336.0,0.5295,0.0,0.209,0.2614,0.233,1.0,0.3237
3336.1,0.562,0.0,0.2052,0.2328,0.2072,1.0,0.2837
3336.2,0.5933,0.0,0.1954,0.2113,0.1873,1.0,0.2449
3336.3,0.6162,0.0,0.1844,0.1995,0.1765,1.0,0.2183
3336.4,0.6276,0.0,0.1767,0.1957,0.1735,1.0,0.2059
3336.5,0.6219,0.0,0.1763,0.2018,0.1809,1.0,0.2048
3336.6,0.6144,0.0,0.177,0.2086,0.1886,1.0,0.2064
3336.7,0.6083,0.0,0.1761,0.2156,0.1963,1.0,0.2089
3336.8,0.6033,0.0,0.1736,0.2231,0.2042,1.0,0.2132
3336.9,0.5955,0.0,0.173,0.2315,0.2149,1.0,0.2284
3337.0,0.5882,0.0,0.1746,0.2372,0.222,1.0,0.2467
3337.1,0.5823,0.0,0.18,0.2376,0.2232,1.0,0.2658
3337.2,0.5789,0.0,0.1887,0.2324,0.218,1.0,0.2779
3337.3,0.5763,0.0,0.1985,0.2252,0.2106,1.0,0.2791
3337.4,0.5784,0.0,0.2032,0.2185,0.2035,1.0,0.2667
3337.5,0.591,0.0,0.1977,0.2114,0.1958,1.0,0.2441
3337.6,0.61,0.0,0.1841,0.2058,0.1896,1.0,0.2182
3337.7,0.6279,0.0,0.1691,0.203,0.1859,1.0,0.1975
